CodCliente,Departamento,Municipio,Credito,Venta,Venta_Credito,Venta_Contado,Veces_Compra,SKUE,Desc,CATE,Veces_Compra_Desc,Veces_Compra_Cred,Veces_Compra_Cont, TicketProm ,%_Desc,%_Compra_Desc
400121,Managua,MANAGUA,Si,"125,153.01","125,153.01",0,14,1,0,1,0,14,0,"8,939.50",0.00%,0.00%
411007,Chinandega,VILLA NUEVA,Si,"81,507.41","54,420.13","27,087.28",22,39,988,9,24,14,19,"3,704.88",1.21%,109.09%
409332,Managua,MANAGUA,No,"67,097.22",0,"67,097.22",13,9,796.25,4,12,0,13,"5,161.32",1.19%,92.31%
407340,Managua,MANAGUA,No,"65,775.14",0,"65,775.14",37,22,959.66,5,35,0,37,"1,777.71",1.46%,94.59%
444996,Madriz,SAN JUAN DEL RIO COCO,No,"57,962.82",0,"57,962.82",13,23,484.13,7,13,0,13,"4,458.68",0.84%,100.00%
404473,Chinandega,PUERTO MORAZAN,Si,"52,391.58","39,504.03","12,887.55",22,51,405.35,11,19,15,19,"2,381.44",0.77%,86.36%
434013,Chontales,JUIGALPA,Si,"49,230.70","9,539.21","39,691.49",17,31,567.18,8,12,7,15,"2,895.92",1.15%,70.59%
406763,Jinotega,SANTA MARIA DE PANTASMA,No,"45,620.63",0,"45,620.63",13,46,222.34,11,9,0,13,"3,509.28",0.49%,69.23%
438124,Matagalpa,MATIGUAS,No,"45,437.43",0,"45,437.43",15,26,513.23,7,15,0,15,"3,029.16",1.13%,100.00%
406537,Nueva Segovia,JALAPA,No,"44,134.27",0,"44,134.27",11,18,178.09,6,8,0,11,"4,012.21",0.40%,72.73%
410313,León,LEON,Si,"40,678.19","40,678.19",0,3,2,0,1,0,3,0,"13,559.40",0.00%,0.00%
439159,Chontales,JUIGALPA,No,"37,634.56",0,"37,634.56",11,14,658.32,4,9,0,11,"3,421.32",1.75%,81.82%
443456,Chontales,SANTO DOMINGO,No,"36,421.50",0,"36,421.50",12,25,554.36,8,12,0,12,"3,035.13",1.52%,100.00%
439220,Managua,MANAGUA,No,"34,776.16",0,"34,776.16",13,6,201.55,4,13,0,13,"2,675.09",0.58%,100.00%
416032,León,EL SAUCE,No,"32,356.99",0,"32,356.99",17,31,359.62,9,17,0,17,"1,903.35",1.11%,100.00%
437286,Madriz,SAN JUAN DEL RIO COCO,No,"28,590.74",0,"28,590.74",14,45,161.35,12,9,0,14,"2,042.20",0.56%,64.29%
407132,Chinandega,CORINTO,No,"28,145.69",0,"28,145.69",35,25,332.32,7,34,0,35,804.16,1.18%,97.14%
401285,León,EL SAUCE,No,"27,188.01",0,"27,188.01",40,73,144.83,16,36,0,40,679.7,0.53%,90.00%
433501,Matagalpa,MUY MUY,No,"25,900.52",0,"25,900.52",12,48,253.42,10,12,0,12,"2,158.38",0.98%,100.00%
444225,Atlántico Sur,EL RAMA,No,"24,546.32",0,"24,546.32",6,17,434.87,5,3,0,6,"4,091.05",1.77%,50.00%
436114,Madriz,SAN JUAN DEL RIO COCO,No,"24,352.58",0,"24,352.58",20,53,122.09,14,18,0,20,"1,217.63",0.50%,90.00%
410954,Chinandega,EL VIEJO,Si,"22,991.25","22,991.25",0,11,48,118.06,11,10,11,0,"2,090.11",0.51%,90.91%
441913,Masaya,MASATEPE,No,"22,572.63",0,"22,572.63",24,28,401.18,6,24,0,24,940.53,1.78%,100.00%
401815,Chinandega,CORINTO,Si,"22,509.77","2,809.41","19,700.36",52,61,44.45,11,24,7,50,432.88,0.20%,46.15%
403381,Managua,TIPITAPA,No,"22,073.69",0,"22,073.69",13,19,247.85,6,12,0,13,"1,697.98",1.12%,92.31%
